Region1,Region2,Crop,Year,Area planted,Area harvested,Production,Yield
buenos aires,25 de mayo,corn,2001,15000.0,13000.0,100100.0,7.7
buenos aires,25 de mayo,corn,2002,6763.0,6763.0,37200.0,5.500520000000001
buenos aires,25 de mayo,corn,2003,7200.0,6545.0,50400.0,7.70053
buenos aires,25 de mayo,corn,2004,8300.0,7300.0,57670.0,7.9
buenos aires,25 de mayo,corn,2005,10600.0,10100.0,91910.0,9.1
buenos aires,25 de mayo,corn,2006,11600.0,10610.0,81700.0,7.700279999999999
buenos aires,25 de mayo,corn,2007,18000.0,17550.0,173750.0,9.90028
buenos aires,25 de mayo,corn,2008,21000.0,20250.0,159980.0,7.90025
buenos aires,25 de mayo,corn,2009,22000.0,15300.0,76500.0,5.0
buenos aires,25 de mayo,corn,2010,2000.0,2000.0,17000.0,8.5
buenos aires,25 de mayo,corn,2011,35000.0,33000.0,239090.0,7.24515
buenos aires,25 de mayo,corn,2012,38500.0,34400.0,189200.0,5.5
buenos aires,25 de mayo,corn,2013,25800.0,24300.0,218700.0,9.0
buenos aires,25 de mayo,corn,2014,32000.0,25500.0,188700.0,7.4
buenos aires,25 de mayo,corn,2015,30000.0,24000.0,213600.0,8.9
buenos aires,25 de mayo,corn,2016,42700.0,37340.0,324858.0,8.7
buenos aires,9 de julio,corn,2001,46000.0,35000.0,210000.0,6.0
buenos aires,9 de julio,corn,2002,12000.0,11200.0,82320.0,7.35
buenos aires,9 de julio,corn,2003,15000.0,14050.0,112400.0,8.0
buenos aires,9 de julio,corn,2004,13000.0,12200.0,95160.0,7.8
buenos aires,9 de julio,corn,2005,20000.0,18000.0,162000.0,9.0
buenos aires,9 de julio,corn,2006,16000.0,13500.0,101250.0,7.5
buenos aires,9 de julio,corn,2007,16000.0,13500.0,128250.0,9.5
buenos aires,9 de julio,corn,2008,19000.0,16400.0,121360.0,7.4
buenos aires,9 de julio,corn,2009,15200.0,11600.0,58000.0,5.0
buenos aires,9 de julio,corn,2010,46500.0,43700.0,393300.0,9.0
buenos aires,9 de julio,corn,2011,47000.0,39950.0,277040.0,6.93467
buenos aires,9 de julio,corn,2012,46000.0,43700.0,275310.0,6.3
buenos aires,9 de julio,corn,2013,38000.0,36100.0,306850.0,8.5
buenos aires,9 de julio,corn,2014,41300.0,32300.0,251940.0,7.8
buenos aires,9 de julio,corn,2015,38000.0,31800.0,286200.0,9.0
buenos aires,9 de julio,corn,2016,34590.0,21910.0,227864.0,10.4
buenos aires,adolfo alsina,corn,2001,23000.0,23000.0,80500.0,3.5
buenos aires,adolfo alsina,corn,2002,26000.0,13000.0,49400.0,3.8
buenos aires,adolfo alsina,corn,2003,27000.0,10000.0,42000.0,4.2
buenos aires,adolfo alsina,corn,2004,28000.0,10000.0,40000.0,4.0
buenos aires,adolfo alsina,corn,2005,29000.0,16000.0,105600.0,6.6
buenos aires,adolfo alsina,corn,2006,28000.0,7500.0,22500.0,3.0
buenos aires,adolfo alsina,corn,2007,28000.0,12500.0,45000.0,3.6
buenos aires,adolfo alsina,corn,2008,31000.0,16500.0,59400.0,3.6
buenos aires,adolfo alsina,corn,2009,27000.0,7500.0,16500.0,2.2
buenos aires,adolfo alsina,corn,2010,24000.0,7000.0,24500.0,3.5
buenos aires,adolfo alsina,corn,2011,26000.0,15000.0,46580.0,3.10533
buenos aires,adolfo alsina,corn,2012,32000.0,9000.0,36000.0,4.0
buenos aires,adolfo alsina,corn,2013,33000.0,13000.0,59800.0,4.6
buenos aires,adolfo alsina,corn,2014,35000.0,5000.0,11000.0,2.2
buenos aires,adolfo alsina,corn,2015,38000.0,12000.0,37200.0,3.1
buenos aires,adolfo alsina,corn,2016,38000.0,4940.0,24700.0,5.0
buenos aires,adolfo gonzales chaves,corn,2001,5500.0,3000.0,10980.0,3.66
buenos aires,adolfo gonzales chaves,corn,2002,4500.0,2300.0,9200.0,4.0
buenos aires,adolfo gonzales chaves,corn,2003,4500.0,3500.0,10500.0,3.0
buenos aires,adolfo gonzales chaves,corn,2004,6000.0,5000.0,26000.0,5.2
buenos aires,adolfo gonzales chaves,corn,2005,6000.0,2300.0,8050.0,3.5
buenos aires,adolfo gonzales chaves,corn,2006,6000.0,1800.0,8100.0,4.5
buenos aires,adolfo gonzales chaves,corn,2007,8000.0,4000.0,12000.0,3.0
buenos aires,adolfo gonzales chaves,corn,2008,8000.0,6400.0,25600.0,4.0
buenos aires,adolfo gonzales chaves,corn,2009,8000.0,0.0,0.0,0.0
buenos aires,adolfo gonzales chaves,corn,2010,7000.0,5600.0,16800.0,3.0
buenos aires,adolfo gonzales chaves,corn,2011,7000.0,4900.0,27890.0,5.69184
buenos aires,adolfo gonzales chaves,corn,2012,9000.0,5800.0,22620.0,3.9
buenos aires,adolfo gonzales chaves,corn,2013,6000.0,3900.0,23400.0,6.0
buenos aires,adolfo gonzales chaves,corn,2014,9700.0,3900.0,19500.0,5.0
buenos aires,adolfo gonzales chaves,corn,2015,7700.0,5800.0,24360.0,4.2
buenos aires,adolfo gonzales chaves,corn,2016,5500.0,3524.0,16915.0,4.799939999999999
buenos aires,alberti,corn,2001,19000.0,17200.0,104060.0,6.05
buenos aires,alberti,corn,2002,14000.0,13400.0,98490.0,7.35
buenos aires,alberti,corn,2003,12000.0,11500.0,92000.0,8.0
buenos aires,alberti,corn,2004,11000.0,10200.0,79560.0,7.8
