"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Brasil, Grande Região, Unidade da Federação, Mesorregião Geográfica e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Brasil, Grande Região, Unidade da Federação, Mesorregião Geográfica e Microrregião Geográfica","2000",,,,,,,,,"2001",,,,,,,,,"2002",,,,,,,,,"2003",,,,,,,,,"2004",,,,,,,,,"2005",,,,,,,,,"2006",,,,,,,,,"2007",,,,,,,,,"2008",,,,,,,,,"2009",,,,,,,,,"2010",,,,,,,,,"2011",,,,,,,,,"2012",,,,,,,,,"2013",,,,,,,,,"2014",,,,,,,,,"2015",,,,,,,,,"2016"
"Brasil, Grande Região, Unidade da Federação, Mesorregião Geográfica e Microrregião Geográfica","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)","Amendoim (em casca)","Arroz (em casca)","Batata-inglesa","Cana-de-açúcar","Feijão (em grão)","Mandioca","Milho (em grão)","Soja (em grão)","Trigo (em grão)"
"Brasil","104972","3704863","152242","4879841","4441431","1736680","12648005","13693677","1535723","105125","3171300","154186","5022490","3879069","1735149","12912390","13988351","1730908","97125","3171955","161139","5206656","4321809","1747147","12304986","16376035","2151831","89211","3193936","151982","5377216","4378213","1647935","13343992","18527544","2562067","105434","3774215","142781","5633700","4325777","1776967","12864838","21601340","2810874","136429","3999315","142623","5815151","3965847","1929672","12249101","23426756","2363390","111623","3010169","140843","6390474","4243474","1974419","12997372","22082666","1771519","114213","2915316","147800","7086851","3975900","1941104","14010838","20571393","1855058","121457","2869285","144919","8210877","3967518","2008539","14747249","21252721","2385441","94440","2905202","138881","8845833","4277674","1796966","14144321","21761782","2438778","94670","2778173","145682","9164756","3655538","1817055","12963080","23339094","2182667","107185","2855312","149292","9616615","3907926","1756686","13605369","24032410","2175943","110451","2443182","136019","9752328","3182815","1757734","15065288","25090559","1941703","121102","2386821","128118","10223043","3041299","1560263","15708367","27948605","2225401","143683","2347460","132077","10454280","3401466","1592907","15843121","30308231","2836786","148316","2162178","131943","10179827","3130035","1536161","15846517","32206387","2490115","154912","2004643","129953","10245102","2946801","1439754","16039474","33309865","2167539"
"Norte","57","612104","-","16881","187790","456546","668914","73004","-","95","508543","-","19839","168842","443656","537781","106136","-","155","503156","-","16222","160802","444320","487071","140656","-","340","557911","-","15900","172624","454979","525005","212264","-","395","612598","-","16083","170446","464798","558921","359434","-","1793","659460","-","20596","173221","503222","552374","514296","-","318","468667","-","23990","174862","496044","549711","517943","-","335","465565","-","25884","170771","500785","536512","455075","-","2387","434767","-","28016","163172","506317","544323","508024","-","3117","392427","-","33067","165085","493407","523232","500050","-","4174","373847","-","34393","162467","496352","519803","562748","-","1970","440915","-","50442","159129","507266","518337","638315","-","2858","335178","-","52964","155533","518883","541457","686513","-","2026","284673","-","53790","117228","506927","529773","925707","-","1002","260775","-","62896","94303","529577","542629","1191327","-","2576","247328","-","59920","81102","483839","622359","1435877","-","1537","244622","-","63259","80621","462646","573024","1565306","-"
"Nordeste","7245","794861","2733","1132965","2431089","755354","2614003","847076","-","6552","726799","3131","1148869","2122877","775528","2554009","966165","-","6991","727461","3626","1140685","2429838","812426","2716306","1125225","-","9220","724483","4545","1112473","2410680","777136","2906856","1242515","580","10452","785543","6071","1137706","2484636","823865","2928620","1321505","743","10690","818867","6049","1130925","2283424","909393","2747896","1441161","343","10863","734917","5458","1134645","2348447","954050","2868118","1488313","-","9998","743529","7330","1190500","2201842","945329","2955844","1455734","-","15210","699379","7678","1277481","2260777","1018961","3000081","1580796","-","11261","714466","8102","1202426","2317806","819069","3126736","1638637","-","11941","682628","8221","1235074","1918735","816259","2672079","1857118","-","13880","679477","9976","1229948","2136027","743376","3014954","1959397","-","9050","602758","4590","1217115","1471037","746028","2461839","2114806","-","8542","577171","6318","1203803","1361226","591555","2271904","2327374","-","8638","530523","6780","1169770","1736867","597308","2819861","2581058","-","9076","356776","6876","1047500","1629853","592872","2687968","2870256","500","8831","266618","7271","999144","1455954","548413","2459141","2883759","3300"
"Sudeste","87808","203610","61646","2980099","691388","133232","2386779","1135064","19627","86137","146371","69354","3071134","670104","135338","2400381","1162418","25395","78545","143140","71705","3147560","695502","126348","2344469","1294586","40822","68118","129857","74578","3340536","717870","120697","2453320","1527857","55111","80188","138996","69937","3517384","675880","131897","2487931","1876303","70722","99227","149441","72823","3666516","636371","139134","2488554","1900077","71582","80444","121636","69380","4155564","649807","136572","2430792","1665966","61764","86457","117653","78589","4588667","580374","128487","2279568","1361705","55629","87732","93310","71996","5367621","627693","129455","2351125","1396542","100090","62798","77051","66724","5907997","600512","127682","2105154","1423672","82725","66084","76778","71731","6032411","571193","136460","2001493","1516584","77771","81469","67575","70532","6229399","553686","139493","2043346","1508332","60011","90811","61530","67437","6246586","552606","149706","2149542","1591069","66295","103634","40734","65358","6495560","552779","136780","2130727","1764172","74678","126891","34440","63518","6685058","502725","139003","2131699","1938167","148822","130310","24317","64181","6650787","457635","129391","2110908","2120722","183466","138549","18869","61372","6630703","464567","126591","2101896","2321063","185005"
"Sul","9017","1174274","86318","376480","949542","312150","5030008","6100936","1442080","10301","1167648","79711","386236","725147","295981","5389362","5993431","1627808","9559","1199158","81148","409298","847685","261104","4774679","6860846","1994236","9069","1176574","70250","422737","858006","228272","5119258","7498175","2396651","9032","1275747","64038","447940","785602","270839","4589581","8309827","2568551","9475","1274698","59707","453804","676331","285442","4169172","8688656","2180642","9657","1237700","60523","483246","850652","292779","4685004","8131849","1646620","10460","1151160","58599","592438","816383","271609","4850976","8283922","1753633","10391","1265692","60369","649448","709913","256920","5077162","8146896","2217119","11400","1303230","58028","649705","889592","273348","4840289","8285716","2285758","8386","1292239","58474","671383","735093","283857","3990649","8942106","2047741","7798","1359835","59852","685588","716279","292111","4112903","9088123","2071212","6381","1226724","54942","697114","645395","268941","4656207","9178401","1849573","5589","1268225","51150","683531","634310","257393","4532480","10011694","2135982","5605","1293518","53726","717191","677598","251093","3927826","10561372","2665341","5267","1304231","55038","653913","566392","247888","3698680","11112942","2278070","4832","1261722","55380","681885","518702","233340","3674104","11550147","1945184"
"Centro-Oeste","845","920014","1545","373416","181622","79398","1948301","5537597","74016","2040","621939","1990","396412","192099","84646","2030857","5760201","77705","1875","599040","4660","492891","187982","102949","1982461","6954722","116773","2464","605111","2609","485570","219033","66851","2339553","8046733","109725","5367","961331","2735","514587","209213","85568","2299785","9734271","170858","15244","1096849","4044","543310","196500","92481","2291105","10882566","110823","10341","447249","5482","593030","219706","94974","2463747","10278595","63135","6963","437409","3282","689362","206530","94894","3387938","9014957","45796","5737","376137","4876","888311","205963","96886","3774558","9620463","68232","5864","418028","6027","1052638","304679","83460","3548910","9913707","70295","4085","352681","7256","1191495","268050","84127","3779056","10460538","57155","2068","307510","8932","1421238","342805","74440","3915829","10838243","44720","1351","216992","9050","1538549","358244","74176","5256243","11519770","25835","1311","216018","5292","1786359","375756","67608","6243483","12919658","14741","1547","228204","8053","1819365","389973","75926","6421106","14036307","22623","1087","229526","5848","1767707","395053","82171","6726602","14666590","28079","1163","212812","5930","1870111","426957","68764","7231309","14989590","34050"
"Rondônia","24","96528","-","410","86197","15973","129953","11800","-","29","72866","-","504","64011","18090","104836","21871","-","83","54543","-","210","53722","19737","87628","28914","-","113","62045","-","348","56101","24429","105635","41600","-","102","83047","-","415","62190","26848","120686","56443","-","98","95539","-","700","63032","28287","122050","75275","-","105","71218","-","1278","61625","28959","125209","103110","-","152","72202","-","3047","62851","30509","123480","89520","-","119","71031","-","3204","66050","31600","135845","99206","-","161","68912","-","4220","66681","29707","153691","111426","-","74","68252","-","3824","60494","29774","169069","122743","-","63","159632","-","3767","57838","30599","160368","132300","-","27","82583","-","3799","51470","27478","161036","146144","-","170","45616","-","4944","33641","28403","148132","179886","-","52","47820","-","4866","27097","25537","154213","195180","-","62","43574","-","2393","22285","26024","175952","233605","-","71","43980","-","4965","18790","29095","166818","246171","-"
"Acre","1","25830","-","220","14215","21107","31813","-","-","21","23797","-","249","19408","18067","29473","-","-","21","24211","-","313","17342","21329","33611","-","-","25","24617","-","529","13865","23188","34067","-","-","14","27610","-","648","16308","26858","43473","-","-","18","27251","-","798","16306","31259","40837","55","-","76","25110","-","973","14984","31581","37871","20","-","65","22074","-","1022","14410","32232","37065","100","-","118","18184","-","2886","10479","33650","31850","50","-","172","13880","-","2541","9014","29977","27903","50","-","93","16877","-","2769","12283","41108","39784","100","-","157","17359","-","2654","12759","49420","36836","85","-","237","14792","-","3086","12637","58507","43833","-","-","241","11607","-","2718","12020","44409","45486","60","-","261","7109","-","3458","8194","43845","45093","400","-","241","6089","-","3573","7579","41697","41876","-","-","222","4986","-","3079","7540","39832","36387","100","-"
"Amazonas","6","17484","-","4168","5338","95256","12169","1060","-","6","17509","-","4231","5359","95256","9672","1162","-","6","17577","-","4291","5367","96763","10582","1717","-","6","15856","-","3718","5107","83754","13234","2306","-","-","10787","-","4029","3902","80652","12910","2306","-","6","12251","-","5756","6335","91280","19033","2256","-","6","13522","-","6049","7155","87088","20216","2258","-","-","9764","-","6274","5313","79212","16120","806","-","-","4901","-","6050","3235","97393","11905","200","-","-","5556","-","6050","3235","97393","12200","204","-","-","4487","-","5407","4860","89368","13952","180","-","-","5707","-","5211","5362","95586","14494","180","-","-","5906","-","4613","5450","95399","14580","220","-","-","3436","-","4169","3748","95991","11237","20","-","-","2961","-","4639","2289","80562","7529","-","-","-","1964","-","3828","2486","72431","6604","-","-","-","361","-","3600","2157","67595","3298","-","-"
"Roraima","-","16000","-","361","520","4700","15200","-","-","-","12330","-","451","520","5370","10300","-","-","-","16810","-","516","583","5370","14050","-","-","-","21900","-","482","995","6020","16000","-","-","-","26300","-","548","1065","6210","12200","12000","-","-","23435","-","548","1000","6210","12200","13000","-","-","22200","-","548","1000","6220","12200","11000","-","-","19000","-","548","1000","6210","6500","7000","-","-","22200","-","559","1000","6210","6500","8000","-","-","15500","-","559","3000","6210","6500","1400","-","-","15500","-","563","3000","6251","6500","1400","-","-","20000","-","564","3000","6800","6500","3600","-","-","20000","-","566","3000","6800","6500","5000","-","-","15342","-","475","2804","8225","6061","14900","-","-","12000","-","381","2654","8763","6181","16000","-","-","7964","-","290","2688","7851","5221","23820","-","-","9878","-","246","2494","7201","5130","24035","-"
"Pará","26","306304","-","8064","76733","302257","419934","2225","-","39","242741","-","10546","73134","285876","319357","1005","-","45","240887","-","7977","76022","273614","274920","2648","-","46","290558","-","7957","81487","293633","285861","15310","-","44","297429","-","7266","76906","298400","294692","35219","-","41","298552","-","9952","72781","316526","278504","68410","-","41","209603","-","11261","75997","314096","278320","72335","-","48","194356","-","10956","71069","324422","273661","53553","-","54","158751","-","8889","64963","308004","266410","71060","-","84","157021","-","9973","60718","298096","244564","71410","-","137","126935","-","10897","53796","297482","203669","85450","-","100","102847","-","12592","52760","294049","210634","106018","-","94","98242","-","13365","51555","301364","215935","119686","-","112","91549","-","13801","43941","302300","221022","189746","-","112","80126","-","13350","41324","344323","205150","243171","-","87","66255","-","13301","36365","309164","228871","337056","-","59","72973","-","13359","31361","291872","198461","433813","-"
"Amapá","-","1235","-","68","315","5210","1220","-","-","-","2235","-","90","997","6995","1895","-","-","-","2220","-","85","1020","7040","2000","-","-","-","2810","-","98","818","6490","1500","-","-","-","3200","-","96","845","6850","1625","-","-","-","3264","-","75","1072","8160","1568","-","-","-","2371","-","80","1280","8125","1795","-","-","-","2668","-","80","1460","8531","2162","-","-","-","3219","-","110","1634","9261","3190","-","-","-","3650","-","70","1738","10300","3500","-","-","-","3850","-","130","1900","11500","3600","-","-","-","2848","-","130","1231","13180","3147","-","-","-","2500","-","130","1100","12800","2600","-","-","-","2182","-","135","1276","11902","2270","4550","-","-","2019","-","170","1235","14500","2150","17220","-","-","1656","-","140","1129","12825","1757","11365","-","-","1470","-","135","1300","12016","1672","15442","-"
"Tocantins","-","148723","-","3590","4472","12043","58625","57919","-","-","137065","-","3768","5413","14002","62248","82098","-","-","146908","-","2830","6746","20467","64280","107377","-","150","140125","-","2768","14251","17465","68708","153048","-","235","164225","-","3081","9230","18980","73335","253466","-","1630","199168","-","2767","12695","21500","78182","355300","-","90","124643","-","3801","12821","19975","74100","329220","-","70","145501","-","3957","14668","19669","77524","304096","-","2096","156481","-","6318","15811","20199","88623","329508","-","2700","127908","-","9654","20699","21724","74874","315560","-","3870","137946","-","10803","26134","20869","83229","352875","-","1650","132522","-","25524","26179","17632","86358","396132","-","2500","111155","-","27405","30321","16535","96973","415463","-","1503","114941","-","27548","19798","15697","95565","536545","-","577","108740","-","36032","11510","12047","122313","719356","-","2186","119826","-","36395","8570","13847","162078","830031","-","1185","110974","-","37875","16979","15035","161258","845745","-"
"Maranhão","-","478839","-","19912","70744","134688","319759","178716","-","6","458574","-","21572","77138","151494","321233","213436","-","12","479525","-","23109","67541","149766","325475","238173","-","24","501964","-","27920","71850","165202","359550","275252","-","30","517147","-","26791","76168","173045","371423","340403","-","68","534544","-","31728","78025","191913","381663","372074","-","20","507446","-","39301","85606","212096","366513","383284","-","67","507210","-","42451","87692","215211","368305","384474","-","4295","467405","-","48623","85913","223077","353045","421520","-","35","472621","-","46112","96393","188351","357417","409402","-","69","481544","-","50477","88624","210060","382814","495756","-","18","469052","-","48565","90718","207554","381297","530539","-","9","431531","-","49534","85524","196564","451900","556178","-","118","410023","-","49806","94076","191007","511361","564546","-","32","389418","-","46810","97573","188080","551885","677540","-","80","239004","-","47685","86748","173798","456746","761225","-","106","168407","-","45633","71802","157158","334109","783654","-"
"Piauí","21","170643","-","7241","208657","35352","275315","40004","-","14","158956","-","6942","200770","41259","277962","62729","-","59","155959","-","7700","213206","43122","281463","86935","-","49","140260","-","8693","213001","39797","279680","116613","-","47","165436","-","9012","224495","40848","299654","159281","-","48","180105","-","9966","228035","49366","295017","198547","-","33","148226","-","10213","234199","52311","292328","232009","-","23","157503","-","12372","233920","60901","303608","219860","-","30","142629","-","12629","238485","55241","291127","253566","-","109","145584","-","12866","245512","60249","329893","277272","-","82","132181","-","12841","213778","59038","310043","343092","-","94","146297","-","15194","237882","46729","350734","383618","-","79","117684","-","15629","218241","61183","354837","444856","-","90","125232","-","14547","236067","38161","383743","551561","-","73","105941","-","14774","231904","28808","405631","626799","-","62","91183","-","15022","211609","38839","409277","668618","-","70","75681","-","15353","219687","37518","483738","563084","-"
"Ceará","996","58592","3","34535","570027","84029","613626","-","-","623","42849","-","33651","525965","84308","619265","-","-","532","38496","-","33974","597221","86639","702962","117","-","471","38525","-","33312","599096","82054","707891","650","-","553","40376","-","33972","566191","81043","655677","350","-","573","34160","-","35098","494132","93650","568753","210","-","808","32020","-","29067","547178","88602","639205","300","-","694","32802","-","40098","561220","99654","679901","350","-","801","33144","-","42159","592716","95445","694054","512","-","983","34923","-","42706","610267","103966","714034","975","-","1004","27563","-","43024","464636","109155","551984","1020","-","2132","31755","-","41370","600137","85083","725301","-","-","984","25261","-","40248","456787","89117","535959","1145","-","1015","19582","-","32739","318952","66956","360877","-","-","598","13225","-","25190","403666","60747","474619","-","-","463","8898","-","19149","404647","58511","495927","-","-","361","6143","-","16123","383700","58926","475646","-","-"
"Rio Grande do Norte","-","976","-","43380","92389","42944","97390","-","-","-","2355","-","34741","70160","39398","81589","-","-","-","1638","-","48980","93267","40259","103134","-","-","-","2814","-","49019","95563","37193","109131","-","-","-","2520","-","52333","112230","53434","124587","-","-","-","1347","-","53940","66137","60766","63084","-","-","-","1452","-","55623","81208","48802","86065","-","-","-","1934","-","61425","74811","52366","81918","-","-","-","2193","-","65910","82431","51035","89886","-","-","-","2606","-","67597","77837","52367","90735","-","-","-","1375","0","65326","38211","30509","30847","-","-","-","1030","-","59463","70063","25714","73777","-","-","-","941","-","71300","22927","31025","23205","-","-","-","1397","-","66171","37258","8084","42761","-","-","-","1697","-","65912","44212","15791","47897","-","-","-","933","-","59491","43712","14944","42915","-","-","-","808","-","60489","36693","10465","36866","-","-"
"Paraíba","961","8830","920","93055","197226","32760","175484","-","-","589","7672","361","98300","156991","24925","139483","-","-","510","7283","455","98897","176743","25684","164814","-","-","861","7918","602","111716","196494","27927","182611","-","-","1128","8933","441","116671","215378","28957","194527","-","-","1920","7328","439","105403","177921","29508","163255","-","-","1631","7401","493","116115","203463","28831","185091","-","-","1435","7100","305","120004","176586","30936","163284","-","-","1340","7069","380","122587","203780","30647","192868","-","-","1212","7581","390","122888","205536","27749","191901","-","-","552","4509","216","123691","102877","25783","98898","-","-","1020","4308","320","118097","174215","23316","164678","-","-","359","2541","84","125985","61848","20668","78522","-","-","728","532","121","122070","56819","15247","50321","-","-","598","1862","134","119877","84296","15366","85636","350","-","471","1129","100","120559","64350","15221","65286","-","-","555","823","111","122770","81696","15619","83798","-","-"
