Region1,Region2,Year,Area planted,Crop,Area harvested,Production,Yield
brasil,madeiraguapore,2000,11369,corn,11369,15122,1.33
brasil,leste rondoniense,2000,118584,corn,118584,189024,1.594
brasil,vale do jurua,2000,10091,corn,10091,10686,1.058
brasil,vale do acre,2000,21722,corn,21722,37693,1.735
brasil,norte amazonense,2000,29,corn,25,63,2.52
brasil,sudoeste amazonense,2000,3809,corn,3772,5240,1.389
brasil,centro amazonense,2000,4144,corn,4037,7912,1.959
brasil,sul amazonense,2000,4187,corn,4170,4751,1.139
brasil,norte de roraima,2000,9250,corn,9050,12400,1.37
brasil,sul de roraima,2000,5950,corn,5950,7100,1.193
brasil,baixo amazonas,2000,46565,corn,34940,53782,1.539
brasil,marajo,2000,1095,corn,1084,742,0.684
brasil,metropolitana de belem,2000,2694,corn,2694,2108,0.782
brasil,nordeste paraense,2000,44432,corn,44432,32712,0.736
brasil,sudoeste paraense,2000,33950,corn,33950,55373,1.631
brasil,sudeste paraense,2000,291198,corn,275992,387614,1.404
brasil,norte do amapa,2000,350,corn,350,253,0.722
brasil,sul do amapa,2000,870,corn,860,601,0.698
brasil,ocidental do tocantins,2000,42735,corn,42685,80286,1.88
brasil,oriental do tocantins,2000,15890,corn,15890,41101,2.586
brasil,norte maranhense,2000,36188,corn,36188,19418,0.536
brasil,oeste maranhense,2000,99983,corn,99983,99316,0.993
brasil,centro maranhense,2000,82029,corn,82029,60493,0.737
brasil,leste maranhense,2000,71698,corn,71698,43137,0.601
brasil,sul maranhense,2000,29861,corn,29861,99900,3.345
brasil,norte piauiense,2000,32821,corn,32821,20104,0.612
brasil,centronorte piauiense,2000,60886,corn,60645,49038,0.808
brasil,sudoeste piauiense,2000,83183,corn,80605,88642,1.099
brasil,sudeste piauiense,2000,98425,corn,98425,71544,0.726
brasil,noroeste cearense,2000,111402,corn,111402,80007,0.718
brasil,norte cearense,2000,87854,corn,87854,64994,0.739
brasil,metropolitana de fortaleza,2000,7889,corn,7889,4504,0.57
brasil,sertoes cearenses,2000,208871,corn,208871,185501,0.888
brasil,jaguaribe,2000,45410,corn,44760,41590,0.929
brasil,centrosul cearense,2000,37980,corn,37980,37861,0.996
brasil,sul cearense,2000,114220,corn,114220,209173,1.831
brasil,oeste potiguar,2000,42841,corn,42649,33639,0.788
brasil,central potiguar,2000,13921,corn,13921,6775,0.486
brasil,agreste potiguar,2000,32913,corn,28921,12747,0.44
brasil,leste potiguar,2000,7715,corn,7705,4403,0.571
brasil,sertao paraibano,2000,76618,corn,75908,70254,0.925
brasil,borborema,2000,31983,corn,29453,14693,0.498
brasil,agreste paraibano,2000,65285,corn,62505,39217,0.627
brasil,mata paraibana,2000,1598,corn,1598,1078,0.674
brasil,sertao pernambucano,2000,178590,corn,127840,79458,0.621
brasil,sao francisco pernambucano,2000,24855,corn,23235,19068,0.82
brasil,agreste pernambucano,2000,92375,corn,84438,40037,0.474
brasil,mata pernambucana,2000,3783,corn,2779,1125,0.404
brasil,metropolitana de recife,2000,73,corn,73,41,0.561
brasil,sertao alagoano,2000,34235,corn,19139,8251,0.431
brasil,agreste alagoano,2000,30929,corn,30929,27914,0.902
brasil,leste alagoano,2000,7022,corn,7022,6379,0.908
brasil,sertao sergipano,2000,36950,corn,29630,40967,1.382
brasil,agreste sergipano,2000,41336,corn,41072,39217,0.954
brasil,leste sergipano,2000,8014,corn,7786,6747,0.866
brasil,extremo oeste baiano,2000,173349,corn,173349,893307,5.153
brasil,vale saofranciscano da bahia,2000,42447,corn,42447,49308,1.161
brasil,centro norte baiano,2000,153286,corn,153286,135294,0.882
brasil,nordeste baiano,2000,261320,corn,261320,200685,0.767
brasil,metropolitana de salvador,2000,3331,corn,3331,2287,0.686
brasil,centro sul baiano,2000,36698,corn,36698,37391,1.018
brasil,sul baiano,2000,3836,corn,3836,3297,0.859
brasil,noroeste de minas,2000,135235,corn,135235,626291,4.631
brasil,norte de minas,2000,113594,corn,113594,200582,1.765
brasil,jequitinhonha,2000,36850,corn,36850,63007,1.709
brasil,vale do mucuri,2000,5186,corn,5186,9937,1.916
brasil,triangulo mineiroalto paranaiba,2000,337086,corn,337086,1453439,4.311
brasil,central mineira,2000,43591,corn,43591,146348,3.357
brasil,metropolitana de belo horizonte,2000,65827,corn,65827,180270,2.738
brasil,vale do rio doce,2000,87353,corn,87353,220132,2.52
brasil,oeste de minas,2000,82443,corn,82443,269383,3.267
brasil,sulsudoeste de minas,2000,195173,corn,195173,693760,3.554
brasil,campo das vertentes,2000,41845,corn,41845,127157,3.038
brasil,zona da mata,2000,96366,corn,96366,241919,2.51
brasil,noroeste espiritosantense,2000,9310,corn,9310,19424,2.086
brasil,litoral norte espiritosantense,2000,5125,corn,5125,12831,2.503
brasil,central espiritosantense,2000,16145,corn,16145,43266,2.679
brasil,sul espiritosantense,2000,14924,corn,14924,36821,2.467
brasil,noroeste fluminense,2000,5601,corn,5601,10940,1.953
brasil,norte fluminense,2000,3797,corn,3797,5584,1.47
brasil,centro fluminense,2000,3565,corn,3565,8966,2.515
brasil,baixadas,2000,381,corn,381,484,1.27
brasil,sul fluminense,2000,2151,corn,2151,4409,2.049
brasil,metropolitana do rio de janeiro,2000,871,corn,871,1643,1.886
brasil,sao jose do rio preto,2000,125372,corn,125372,451786,3.603
brasil,ribeirao preto,2000,211304,corn,211304,416750,1.972
brasil,aracatuba,2000,69053,corn,69053,239742,3.471
brasil,bauru,2000,86501,corn,86501,284703,3.291
brasil,araraquara,2000,26840,corn,26840,89643,3.339
brasil,piracicaba,2000,27030,corn,27030,113886,4.213
brasil,campinas,2000,102447,corn,102447,471698,4.604
brasil,presidente prudente,2000,41837,corn,41837,103036,2.462
brasil,marilia,2000,10961,corn,10961,27858,2.541
brasil,assis,2000,216697,corn,216697,303298,1.399
brasil,itapetininga,2000,124112,corn,124112,428407,3.451
brasil,macro metropolitana paulista,2000,27277,corn,27277,93064,3.411
brasil,vale do paraiba paulista,2000,12215,corn,12215,30375,2.486
brasil,litoral sul paulista,2000,928,corn,928,1738,1.872
brasil,metropolitana de sao paulo,2000,1786,corn,1786,4106,2.298
brasil,noroeste paranaense,2000,75136,corn,65096,151236,2.323
