"","Data Source Organization","Data Source Document","Country","FNID_mod","Admin 1","Admin2_mod","Pop_group","Year","Season","Crop","DNL Name of Crop in FDW","DNL Name of Crop in source","DNL Original harvest year","AreaPlanted_ha","QuantityProduced_mt","DNLQuantityProduced","Yield_mt_ha"
"1","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET1994A20730","SNNPR","North Omo",NA,2002,"Meher","01122","Maize","Maize","2001/2002",39929.09,65062.371,NA,1.62944787872701
"2","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET1994A20731","SNNPR","Keficho Shekicho",NA,2002,"Meher","01122","Maize","Maize","2001/2002",19652.22,38698.123,NA,1.96914765863602
"3","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20106","Tigray","West Tigray",NA,2002,"Meher","01122","Maize","Maize","2001/2002",23712.84,46653.097,NA,1.96741921254476
"4","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20426","Oromia","Borena",NA,2002,"Meher","01122","Maize","Maize","2001/2002",27669.85,44483.551,NA,1.60765421568964
"5","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20427","Oromia","West Shewa",NA,2002,"Meher","01122","Maize","Maize","2001/2002",72474.91,204138.874,NA,2.81668337359784
"6","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20509","Somali","Liben",NA,2002,"Meher","01122","Maize","Maize","2001/2002",2858.2,1724.2,NA,0.603246798684487
"7","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20727","SNNPR","Gurage",NA,2002,"Meher","01122","Maize","Maize","2001/2002",37906.6,67603.559,NA,1.78342449599806
"8","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A20729","SNNPR","Kembata Alaba Tembaro
",NA,2002,"Meher","01122","Maize","Maize","2001/2002",22749.54,40381.21,NA,1.77503413255828
"9","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2001A212r","Gambela","Gambela Regroup",NA,2002,"Meher","01122","Maize","Maize","2001/2002",5369.69,11338.406,NA,2.11155690551969
"10","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2003A20423","Oromia","East Wellega",NA,2002,"Meher","01122","Maize","Maize","2001/2002",76187.3,214625.889,NA,2.81708223024047
"11","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2003A20424","Oromia","West Wellega",NA,2002,"Meher","01122","Maize","Maize","2001/2002",83607.16,185795.03,NA,2.22223826284734
"12","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2003A204r","Oromia","Oromia Regroup",NA,2002,"Meher","01122","Maize","Maize","2001/2002",226620.35,495055.361,NA,2.1845141488838
"13","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2003A206r","Benshangul Gumuz","Benshangul Gumuz Regroup",NA,2002,"Meher","01122","Maize","Maize","2001/2002",15319.8,28365.08,NA,1.85153069883419
"14","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2007A20313","Amhara","South Wollo",NA,2002,"Meher","01122","Maize","Maize","2001/2002",13352.55,21488.044,NA,1.60928391955095
"15","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2007A20608","Benshangul Gumuz","Metekel",NA,2002,"Meher","01122","Maize","Maize","2001/2002",5831.95,13678.419,NA,2.3454280300757
"16","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2007A21410","Addis Ababa","Region 14",NA,2002,"Meher","01122","Maize","Maize","2001/2002",64.95,19.041,NA,0.293163972286374
"17","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20102","Tigray","Central Tigray",NA,2002,"Meher","01122","Maize","Maize","2001/2002",19377.67,27767.966,NA,1.43298786696233
"18","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20103","Tigray","East Tigray",NA,2002,"Meher","01122","Maize","Maize","2001/2002",3113.69,4811.875,NA,1.54539308665924
"19","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20104","Tigray","South Tigray",NA,2002,"Meher","01122","Maize","Maize","2001/2002",7107.67,10620.147,NA,1.49418121550381
"20","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20201","Afar","Zone 1",NA,2002,"Meher","01122","Maize","Maize","2001/2002",5654.95,4972.389,NA,0.879298490702836
"21","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20203","Afar","Zone 3",NA,2002,"Meher","01122","Maize","Maize","2001/2002",953.91,1171.485,NA,1.22808755542976
"22","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20301","Amhara","North Gondar",NA,2002,"Meher","01122","Maize","Maize","2001/2002",35568.7,59423.426,NA,1.67066623182742
"23","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20302","Amhara","South Gondar",NA,2002,"Meher","01122","Maize","Maize","2001/2002",33941.09,54746.797,NA,1.6129946622221
"24","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20303","Amhara","North Wollo",NA,2002,"Meher","01122","Maize","Maize","2001/2002",6523.4,7027.602,NA,1.07729128981819
"25","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20305","Amhara","North Shewa",NA,2002,"Meher","01122","Maize","Maize","2001/2002",8024.93,7872.498,NA,0.981005192568658
"26","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20306","Amhara","East Gojam",NA,2002,"Meher","01122","Maize","Maize","2001/2002",46930.47,95556.569,NA,2.0361306630852
"27","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20307","Amhara","West Gojam",NA,2002,"Meher","01122","Maize","Maize","2001/2002",111417.75,289770.597,NA,2.6007579312991
"28","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20308","Amhara","Wag Himra",NA,2002,"Meher","01122","Maize","Maize","2001/2002",1296.14,854.32,NA,0.659126328945947
"29","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20309","Amhara","Awi",NA,2002,"Meher","01122","Maize","Maize","2001/2002",34085.13,106725.979,NA,3.13115951149372
"30","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20310","Amhara","Oromia",NA,2002,"Meher","01122","Maize","Maize","2001/2002",7138.02,7977.885,NA,1.11766077988013
"31","CSA, Ethiopia","Agricultural Sample Enumeration, 2001-2002, Ethiopia","ET","ET2014A20403","Oromia","Ilubabor",NA,2002,"Meher","01122","Maize","Maize","2001/2002",71933.55,141925.832,NA,1.97301303772718
