Region1,Region2,Year,Crop,Area planted,Production,Yield
snnpr,north omo,2002,corn,39929.09,65062.371,1.62944787872701
snnpr,keficho shekicho,2002,corn,19652.22,38698.123,1.9691476586360201
tigray,west tigray,2002,corn,23712.84,46653.097,1.96741921254476
oromia,borena,2002,corn,27669.85,44483.551,1.6076542156896398
oromia,west shewa,2002,corn,72474.91,204138.87399999998,2.81668337359784
somali,liben,2002,corn,2858.2,1724.2,0.603246798684487
snnpr,gurage,2002,corn,37906.6,67603.55900000001,1.78342449599806
snnpr,kembata alaba tembaro,2002,corn,22749.54,40381.21,1.77503413255828
gambela,gambela regroup,2002,corn,5369.69,11338.406,2.11155690551969
oromia,east wellega,2002,corn,76187.3,214625.889,2.8170822302404703
oromia,west wellega,2002,corn,83607.16,185795.03,2.22223826284734
oromia,oromia regroup,2002,corn,226620.35,495055.36100000003,2.1845141488838
benshangul gumuz,benshangul gumuz regroup,2002,corn,15319.8,28365.08,1.85153069883419
amhara,south wollo,2002,corn,13352.55,21488.043999999998,1.6092839195509498
benshangul gumuz,metekel,2002,corn,5831.95,13678.419,2.3454280300757
addis ababa,region 14,2002,corn,64.95,19.041,0.293163972286374
tigray,central tigray,2002,corn,19377.67,27767.966,1.43298786696233
tigray,east tigray,2002,corn,3113.69,4811.875,1.54539308665924
tigray,south tigray,2002,corn,7107.67,10620.146999999999,1.4941812155038101
afar,zone 1,2002,corn,5654.95,4972.389,0.8792984907028359
afar,zone 3,2002,corn,953.91,1171.485,1.2280875554297601
amhara,north gondar,2002,corn,35568.7,59423.426,1.67066623182742
amhara,south gondar,2002,corn,33941.09,54746.797,1.6129946622221003
amhara,north wollo,2002,corn,6523.4,7027.602,1.07729128981819
amhara,north shewa,2002,corn,8024.93,7872.4980000000005,0.981005192568658
amhara,east gojam,2002,corn,46930.47,95556.569,2.0361306630852
amhara,west gojam,2002,corn,111417.75,289770.597,2.6007579312991003
amhara,wag himra,2002,corn,1296.14,854.32,0.659126328945947
amhara,awi,2002,corn,34085.13,106725.979,3.1311595114937205
amhara,oromia,2002,corn,7138.02,7977.885,1.11766077988013
oromia,ilubabor,2002,corn,71933.55,141925.832,1.9730130377271797
oromia,jimma,2002,corn,103963.08,249287.542,2.39784683177913
oromia,north shewa,2002,corn,5340.7,8004.559,1.49878461624881
oromia,west hararge,2002,corn,42379.9,70429.017,1.6618495324434501
oromia,east hararge,2002,corn,36497.87,71454.631,1.95777537154908
somali,shinile,2002,corn,63.6,78.8,1.23899371069182
somali,jijiga,2002,corn,18552.0,25173.0,1.35688874514877
snnpr,hadiya,2002,corn,21872.69,33749.05,1.54297665262023
snnpr,sidama,2002,corn,25348.82,44760.93,1.7657993547628603
snnpr,gedeo,2002,corn,4857.81,10085.261,2.0760921073487903
snnpr,south omo,2002,corn,5394.58,7846.71,1.45455438606898
snnpr,bench maji,2002,corn,9570.78,15477.33,1.6171440572241798
snnpr,yem,2002,corn,1704.55,2239.0460000000003,1.3135701504796002
snnpr,segen,2002,corn,7723.66,6393.565,0.827789545370977
harari,harari,2002,corn,765.0,918.6,1.2007843137254899
harari,harari,2001,corn,1080.0,960.0,0.8888888888888891
harari,harari,2004,corn,925.0,1205.3,1.3030270270270299
harari,harari,2005,corn,1149.0,1014.8,0.8832027850304609
harari,harari,2006,corn,933.06,1214.117,1.30122071463786
harari,harari,2007,corn,1366.38,2212.699,1.6193877252301698
dire dawa,dire dawa,2001,corn,370.0,410.0,1.1081081081081101
dire dawa,dire dawa,2002,corn,465.0,539.3,1.1597849462365601
dire dawa,dire dawa,2004,corn,184.0,234.9,1.27663043478261
dire dawa,dire dawa,2005,corn,281.0,307.1,1.09288256227758
dire dawa,dire dawa,2006,corn,106.41,129.51,1.21708486044545
dire dawa,dire dawa,2007,corn,335.48,374.977,1.11773280076309
snnpr,north omo,2001,corn,116020.0,173284.0,1.4935700741251499
snnpr,keficho shekicho,2001,corn,22030.0,41475.0,1.8826600090785302
tigray,west tigray,2001,corn,26550.0,46066.0,1.735065913371
oromia,borena,2001,corn,45340.0,67177.0,1.4816277018085602
oromia,west shewa,2001,corn,54090.0,117242.0,2.16753558883343
snnpr,gurage,2001,corn,47810.0,98235.0,2.0546956703618497
snnpr,kembata alaba tembaro,2001,corn,33180.0,65205.0,1.96518987341772
oromia,east wellega,2001,corn,113080.0,264730.0,2.3410859568447098
