Region1,Region2,Year,Crop,Area planted,Production,Yield
andhra pradesh,adilabad,2011,corn,18047.0,52403.0,2.9
andhra pradesh,adilabad,2004,corn,26517.0,74482.0,2.81
andhra pradesh,adilabad,2006,corn,25057.0,78012.0,3.11
andhra pradesh,adilabad,2000,rice,77473.0,167258.0,2.16
andhra pradesh,adilabad,1998,corn,29300.0,77900.0,2.66
andhra pradesh,adilabad,2009,corn,17899.0,68468.0,3.83
andhra pradesh,adilabad,2010,rice,90547.0,255154.0,2.82
andhra pradesh,adilabad,2001,rice,77144.0,173741.0,2.25
andhra pradesh,adilabad,2000,corn,30498.0,95529.0,3.13
andhra pradesh,adilabad,2007,corn,24000.0,76000.0,3.17
andhra pradesh,adilabad,2002,corn,28305.0,68877.0,2.43
andhra pradesh,adilabad,2005,corn,27153.0,92172.0,3.39
andhra pradesh,adilabad,1999,rice,77368.0,189067.0,2.44
andhra pradesh,adilabad,2006,rice,73762.0,177866.0,2.41
andhra pradesh,adilabad,2001,corn,27713.0,109296.0,3.94
andhra pradesh,adilabad,2009,rice,48118.0,98499.0,2.05
andhra pradesh,adilabad,2003,rice,80920.0,200748.0,2.48
andhra pradesh,adilabad,2011,rice,76170.0,199326.0,2.62
andhra pradesh,adilabad,2004,rice,39621.0,62882.0,1.59
andhra pradesh,adilabad,2008,rice,77294.0,198382.0,2.57
andhra pradesh,adilabad,2010,corn,20363.0,79837.0,3.92
andhra pradesh,adilabad,1999,corn,30524.0,84027.0,2.75
andhra pradesh,adilabad,2005,rice,78750.0,200784.0,2.55
andhra pradesh,adilabad,2002,rice,76794.0,121898.0,1.59
andhra pradesh,adilabad,1998,rice,78600.0,185800.0,2.36
andhra pradesh,adilabad,2008,corn,32623.0,137479.0,4.21
andhra pradesh,adilabad,2007,rice,52000.0,124000.0,2.38
andhra pradesh,adilabad,2003,corn,30459.0,124239.0,4.08
andhra pradesh,anantapur,2004,corn,7067.0,35853.0,5.07
andhra pradesh,anantapur,2002,rice,40026.0,86791.0,2.17
andhra pradesh,anantapur,2008,rice,48722.0,144430.0,2.96
andhra pradesh,anantapur,2009,corn,13467.0,77660.0,5.77
andhra pradesh,anantapur,2006,rice,33195.0,99401.0,2.99
andhra pradesh,anantapur,2001,rice,70997.0,204515.0,2.88
andhra pradesh,anantapur,1998,corn,3600.0,8300.0,2.31
andhra pradesh,anantapur,2011,corn,31655.0,111633.0,3.53
andhra pradesh,anantapur,2000,corn,3874.0,11197.0,2.89
andhra pradesh,anantapur,2011,rice,48668.0,120073.0,2.47
andhra pradesh,anantapur,2001,corn,3114.0,10022.0,3.22
andhra pradesh,anantapur,2002,corn,4829.0,12364.0,2.56
andhra pradesh,anantapur,2000,rice,62004.0,174916.0,2.82
andhra pradesh,anantapur,2010,corn,15476.0,94480.0,6.1
andhra pradesh,anantapur,2010,rice,59801.0,171401.0,2.87
andhra pradesh,anantapur,2009,rice,51654.0,148411.0,2.87
andhra pradesh,anantapur,2012,rice,29054.0,76459.0,2.63
andhra pradesh,anantapur,2006,corn,7997.0,43821.0,5.48
andhra pradesh,anantapur,2003,corn,7458.0,17505.0,2.35
andhra pradesh,anantapur,2007,rice,44000.0,132000.0,3.0
andhra pradesh,anantapur,2004,rice,33575.0,106673.0,3.18
andhra pradesh,anantapur,1998,rice,64900.0,160700.0,2.48
andhra pradesh,anantapur,2003,rice,28341.0,70354.0,2.48
andhra pradesh,anantapur,1999,rice,58249.0,150751.0,2.59
andhra pradesh,anantapur,2005,rice,48150.0,125559.0,2.61
andhra pradesh,anantapur,2008,corn,9699.0,53196.0,5.48
andhra pradesh,anantapur,2005,corn,7393.0,32259.0,4.36
andhra pradesh,anantapur,2012,corn,29109.0,113614.0,3.9
andhra pradesh,anantapur,1999,corn,3813.0,11743.0,3.08
andhra pradesh,anantapur,2007,corn,13000.0,80000.0,6.15
andhra pradesh,anantapur,2013,corn,34864.0,111196.0,3.19
andhra pradesh,anantapur,2013,rice,40397.0,87935.0,2.18
andhra pradesh,chittoor,2002,rice,50171.0,126847.0,2.53
andhra pradesh,chittoor,2003,corn,1134.0,3468.0,3.06
andhra pradesh,chittoor,2008,rice,55523.0,164878.0,2.97
andhra pradesh,chittoor,2002,corn,545.0,2221.0,4.08
andhra pradesh,chittoor,2005,rice,82591.0,230785.0,2.79
andhra pradesh,chittoor,2013,corn,3208.0,17396.0,5.42
