Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,adair,soybeans,ia,100600.0,101000.0,2822000.0,28.1
2003,adair,soybeans,mo,38200.0,38500.0,1214000.0,31.8
2003,adams,soybeans,ia,61800.0,62000.0,1702000.0,27.5
2003,adams,soybeans,il,122700.0,123000.0,5398800.0,44.0
2003,adams,soybeans,in,79500.0,81000.0,2839800.0,35.7
2003,adams,soybeans,ne,73700.0,74000.0,3718500.0,50.5
2003,adams,soybeans,oh,14600.0,14700.0,548700.0,37.6
2003,aitkin,soybeans,mn,3700.0,3800.0,125800.0,34.0
2003,alexander,soybeans,il,36900.0,37000.0,1402200.0,38.0
2003,allamakee,soybeans,ia,28800.0,29000.0,914000.0,31.7
2003,allen,soybeans,in,100000.0,101000.0,3782300.0,37.8
2003,allen,soybeans,ks,57300.0,59700.0,880400.0,15.0
2003,allen,soybeans,oh,76600.0,77300.0,3059800.0,39.9
2003,anderson,soybeans,ks,73700.0,76000.0,1091500.0,15.0
2003,andrew,soybeans,mo,67300.0,67900.0,1936000.0,28.8
2003,anoka,soybeans,mn,5200.0,5300.0,93600.0,18.0
2003,antelope,soybeans,ne,118300.0,119000.0,5482100.0,46.3
2003,appanoose,soybeans,ia,35800.0,36000.0,1117000.0,31.2
2003,arkansas,soybeans,ar,190500.0,190500.0,8639000.0,45.0
2003,ashland,soybeans,oh,31000.0,31100.0,1172100.0,37.8
2003,ashley,soybeans,ar,36000.0,36000.0,1315000.0,37.0
2003,ashtabula,soybeans,oh,18600.0,18700.0,623700.0,33.5
2003,atchison,soybeans,ks,55300.0,56800.0,1122800.0,20.0
2003,atchison,soybeans,mo,120000.0,121000.0,3834000.0,32.0
2003,athens,soybeans,oh,1200.0,1300.0,49200.0,41.0
2003,audrain,soybeans,mo,157300.0,158000.0,4702000.0,29.9
2003,audubon,soybeans,ia,100500.0,101000.0,3093000.0,30.8
2003,auglaize,soybeans,oh,87500.0,87900.0,3398100.0,38.8
2003,aurora,soybeans,sd,50700.0,51000.0,1295000.0,25.5
2003,barber,soybeans,ks,1600.0,1800.0,48800.0,31.0
2003,barnes,soybeans,nd,267000.0,270000.0,8030000.0,30.1
2003,bartholomew,soybeans,in,67100.0,67200.0,2881100.0,42.9
2003,barton,soybeans,ks,18000.0,19100.0,579000.0,32.0
2003,barton,soybeans,mo,77100.0,77700.0,2067000.0,26.8
2003,bates,soybeans,mo,107100.0,108100.0,2253000.0,21.0
2003,beadle,soybeans,sd,153200.0,156000.0,2702000.0,17.6
2003,becker,soybeans,mn,86100.0,86800.0,2324700.0,27.0
2003,beltrami,soybeans,mn,3500.0,3600.0,87500.0,25.0
2003,benson,soybeans,nd,44500.0,44500.0,1170000.0,26.3
2003,benton,soybeans,ia,164400.0,165000.0,4862000.0,29.6
2003,benton,soybeans,in,111100.0,112000.0,3801300.0,34.2
2003,benton,soybeans,mn,30000.0,30300.0,720000.0,24.0
2003,benton,soybeans,mo,21100.0,21300.0,415000.0,19.7
2003,big stone,soybeans,mn,111000.0,113900.0,2997000.0,27.0
2003,black hawk,soybeans,ia,113500.0,114000.0,2809000.0,24.7
2003,blackford,soybeans,in,29700.0,30400.0,1018000.0,34.3
2003,blue earth,soybeans,mn,170700.0,171400.0,5974500.0,35.0
2003,bollinger,soybeans,mo,20600.0,20700.0,598000.0,29.0
2003,bon homme,soybeans,sd,94800.0,95000.0,2397000.0,25.3
2003,bond,soybeans,il,84900.0,85000.0,2716800.0,32.0
